AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained
Fall 2018,School A,HBP,DOMESTIC,Direct Entry,368,300

Fall 2018,School A,HBP,DOMESTIC,Foundation,81,56

Fall 2018,School A,HBP,DOMESTIC,Transfer,18,13

Fall 2018,School A,HBP,INTERNATIONAL,Direct Entry,79,71

Fall 2018,School A,HBP,INTERNATIONAL,Transfer,22,18

Fall 2018,School A,XJQ,DOMESTIC,Direct Entry,16,11

Fall 2018,School A,XJQ,DOMESTIC,Transfer,6,5

Fall 2018,School A,XJQ,INTERNATIONAL,Direct Entry,2,1

Fall 2018,School A,YDD,DOMESTIC,Direct Entry,12,10

Fall 2018,School A,YDD,DOMESTIC,Transfer,4,3

Fall 2018,School A,YDD,INTERNATIONAL,Direct Entry,12,11

Fall 2018,School A,ZVS,DOMESTIC,Direct Entry,4,3

Fall 2018,School A,ZVS,INTERNATIONAL,Direct Entry,4,4

Fall 2018,School B,AEX,DOMESTIC,Direct Entry,14,12

Fall 2018,School B,AEX,DOMESTIC,Transfer,8,7

Fall 2018,School B,AEX,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School B,CCH,DOMESTIC,Direct Entry,11,4

Fall 2018,School B,DLF,DOMESTIC,Direct Entry,44,40

Fall 2018,School B,DLF,DOMESTIC,Foundation,16,15

Fall 2018,School B,DLF,DOMESTIC,Transfer,6,5

Fall 2018,School B,DLF,INTERNATIONAL,Direct Entry,3,1

Fall 2018,School B,ENR,DOMESTIC,Direct Entry,16,16

Fall 2018,School B,ENR,DOMESTIC,Transfer,7,6

Fall 2018,School B,ENR,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School B,ENR,INTERNATIONAL,Transfer,2,1

Fall 2018,School B,FJC,DOMESTIC,Direct Entry,14,12

Fall 2018,School B,FJC,DOMESTIC,Transfer,8,7

Fall 2018,School B,FJC,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School B,GIZ,DOMESTIC,Direct Entry,17,12

Fall 2018,School B,GIZ,DOMESTIC,Transfer,10,8

Fall 2018,School B,GIZ,INTERNATIONAL,Direct Entry,1,0

Fall 2018,School B,GIZ,INTERNATIONAL,Transfer,2,1

Fall 2018,School B,JQP,DOMESTIC,Direct Entry,68,62

Fall 2018,School B,JQP,DOMESTIC,Transfer,25,22

Fall 2018,School B,JQP,INTERNATIONAL,Direct Entry,7,7

Fall 2018,School B,NSU,DOMESTIC,Direct Entry,1,0

Fall 2018,School B,NSU,DOMESTIC,Transfer,1,0

Fall 2018,School B,UQU,DOMESTIC,Direct Entry,14,10

Fall 2018,School B,UQU,DOMESTIC,Transfer,7,5

Fall 2018,School B,UQU,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School B,UQU,INTERNATIONAL,Transfer,2,1

Fall 2018,School B,XEM,DOMESTIC,Direct Entry,48,42

Fall 2018,School B,XEM,DOMESTIC,Foundation,15,14

Fall 2018,School B,XEM,DOMESTIC,Transfer,3,2

Fall 2018,School B,XEM,INTERNATIONAL,Direct Entry,5,3

Fall 2018,School C,AFX,DOMESTIC,Direct Entry,28,25

Fall 2018,School C,AFX,DOMESTIC,Transfer,19,16

Fall 2018,School C,AFX,INTERNATIONAL,Direct Entry,3,3

Fall 2018,School C,CQK,DOMESTIC,Direct Entry,34,31

Fall 2018,School C,CQK,DOMESTIC,Transfer,11,10

